quarter,tier,plan_count,linked_formulary_ndc_rows,median_plan_pref_cost_amt,mean_plan_ded_applies_share
2025Q4,1,5631,3178137,0.0,0.227668
2025Q4,2,5359,4274125,0.0,0.213286
2025Q4,3,5354,3556321,0.0,0.641576
2025Q4,4,5331,4391056,0.0,0.674545
2025Q4,5,5301,4097057,0.0,0.67591
2025Q4,6,1157,210523,0.0,0.099395
2025Q4,7,16,208,0.0,0.375
2026Q1,1,5514,2708497,0.0,0.133478
2026Q1,2,5350,4081351,0.0,0.216449
2026Q1,3,5348,3585091,0.0,0.804787
2026Q1,4,5348,4282776,0.0,0.859761
2026Q1,5,5319,3980972,0.0,0.862568
2026Q1,6,1497,259058,0.0,0.045424
2026Q1,7,20,380,0.0,0.4
