rank,product_concept,net_higher_tier_share,same_ndc_pct_change_qoq,same_ndc_repricing_dominant_flag,manufacturer_mix_shift_dominant_flag
1,hydroxyzine pamoate,0.30772525119420197,-0.1644467213114755,1,0
2,dicyclomine hydrochloride,0.30426303356589574,0.19324324324324335,1,0
3,nortriptyline hydrochloride,0.23636068500933366,0.007194244604316595,0,0
4,alprazolam,0.15165591867963713,0.0161883738042679,0,0
5,hydromorphone hydrochloride,0.09149839803293346,0.10276210276210282,1,0
6,cyclosporine,0.0752177656234174,0.0793731469716223,0,0
7,diazepam,0.07122804575299876,0.36046511627906985,1,0
8,morphine sulfate,0.06965084903276296,0.03477443609022565,0,0
9,dexmethylphenidate hydrochloride,0.06766100355590676,-0.0059670321473857,0,0
10,clarithromycin,0.06515853638281263,-0.12236286919831228,1,0
11,oxycodone hydrochloride,0.06400769741815766,0.015178256265443085,0,0
12,chlorpromazine hydrochloride,0.054874509530774766,-0.004593432369038456,0,0
13,gentamicin sulfate,0.04701156083923129,-0.0012033694344162334,0,0
14,haloperidol,0.04183333913063643,0.09722722362261442,0,0
15,estradiol,0.041309651234182204,0.025513599229778156,0,0
16,diltiazem hydrochloride,0.03819378842268955,0.05715802512829586,0,0
17,fluvoxamine maleate,0.037634803022522194,-0.1194401840490797,1,0
18,methylphenidate hydrochloride,0.035087319838794144,-0.10354254470896455,1,0
19,amantadine hydrochloride,0.032691909786881856,-0.10146071851559425,1,0
20,phenobarbital,0.030372715057399743,-0.006823821339950481,0,0
21,potassium chloride,0.02868976943255557,0.0020093770931012894,0,0
22,propranolol hydrochloride,0.024301917031375207,-0.13284292514063178,1,0
23,cimetidine,0.021548329019916733,-0.3858188375053034,1,0
24,baclofen,0.021359560887166878,0.05173463177115038,0,0
25,nitroglycerin,0.020544192841490137,-0.010376362996834358,0,0
