pbm,plan_type,plan_count,avg_mail_share,avg_retail_share,mail_dominant_plan_rate,pbm_mail_steering_score
CarelonRx,MA-PD,174,0.000446149,0.999553851,0.0,0.312932184
CarelonRx,PDP,2,9.87e-05,0.99990127,0.0,0.069249767
Caremark,MA-PD,642,0.00010945,0.99989055,0.0,0.076769377
Caremark,PDP,33,9.62e-05,0.999903762,0.0,0.067502285
EnvisionRx,MA-PD,108,0.00112884,0.99887116,0.0,0.791776905
Express Scripts,MA-PD,536,0.001292871,0.998707129,0.0,0.906829973
Express Scripts,PDP,129,0.001368126,0.998631874,0.0,0.95961461
Humana Pharmacy Solutions,MA-PD,1306,0.000329144,0.999670856,0.0,0.230863999
Humana Pharmacy Solutions,PDP,103,6.39e-05,0.999936138,0.0,0.044793019
Kaiser Permanente,MA-PD,124,0.041479598,0.958520402,0.0,29.09411417
Navitus,MA-PD,98,0.000627036,0.999372964,0.0,0.439808143
OptumRx,MA-PD,1576,0.000372452,0.999627548,0.0,0.261240692
OptumRx,PDP,77,0.000862639,0.999137361,0.0,0.605061921
Prime Therapeutics,MA-PD,583,0.000709388,0.999290612,0.0,0.497569989
Prime Therapeutics,PDP,23,0.000449587,0.999550413,0.0,0.315343854
