sponsor_name,total_rows,matched_rows,repriced_rows,churn_rows,repricing_share_of_matched,churn_share_of_total,segment
"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",2361642,1197342,1168802,1164300,0.976164,0.493004,churn_dominant
MEDCO CONTAINMENT LIFE AND MEDCO CONTAINMENT NY,1077057,562374,553380,514683,0.984007,0.477861,churn_dominant
HIGHMARK SENIOR HEALTH COMPANY,788904,172575,168326,616329,0.975379,0.781247,churn_dominant
"SIMPLY HEALTHCARE PLANS, INC.",646119,345411,338740,300708,0.980687,0.465407,churn_dominant
AETNA HEALTH INC. (FL),615975,287307,263738,328668,0.917966,0.533574,churn_dominant
"ANTHEM INSURANCE COMPANIES, INC.",500928,132288,129196,368640,0.976627,0.735914,churn_dominant
UNITEDHEALTHCARE INSURANCE COMPANY,389772,195285,195107,194487,0.999089,0.498976,churn_dominant
"HEALTHSPRING OF FLORIDA, INC.",355041,136539,132716,218502,0.972001,0.615428,churn_dominant
HIGHMARK CHOICE COMPANY,337488,159528,155247,177960,0.973165,0.527308,churn_dominant
"DEVOTED HEALTH PLAN OF TEXAS, INC.",329478,137052,119793,192426,0.87407,0.584033,churn_dominant
CAPITAL ADVANTAGE INSURANCE COMPANY,322527,20514,20304,302013,0.989763,0.936396,churn_dominant
"Sunshine State Health Plan, Inc.",307947,151287,148126,156660,0.979106,0.508724,churn_dominant
CARITEN HEALTH PLAN INC.,294380,57330,53915,237050,0.940433,0.805252,churn_dominant
AETNA HEALTH OF OHIO INC.,291231,148101,134011,143130,0.904862,0.491466,churn_dominant
AETNA BETTER HEALTH INC. (GA),290865,127692,116304,163173,0.910817,0.560992,churn_dominant
"EXCELLUS HEALTH PLAN, INC.",282966,140544,137653,142422,0.97943,0.503318,churn_dominant
"SELECTHEALTH, INC.",269559,145353,145081,124206,0.998129,0.460775,churn_dominant
"AETNA BETTER HEALTH, INC. (LA)",269133,127692,118832,141441,0.930614,0.525543,churn_dominant
KAISER FDTN HLTH PLAN OF THE MID-ATLANTIC STATES,247101,67746,67061,179355,0.989889,0.725837,churn_dominant
AETNA HEALTH OF CALIFORNIA INC.,222687,63846,57339,158841,0.898083,0.713293,churn_dominant
"CIGNA HEALTHCARE OF COLORADO, INC.",222249,94527,92716,127722,0.980841,0.57468,churn_dominant
DEVOTED HEALTH PLAN OF PENNSYLVANIA INC,222213,19272,16604,202941,0.861561,0.913272,churn_dominant
AETNA BETTER HEALTH OF CALIFORNIA INC.,213090,95769,84768,117321,0.88513,0.55057,churn_dominant
"COVENTRY HEALTH CARE OF ILLINOIS, INC.",211029,104637,93686,106392,0.895343,0.504158,churn_dominant
AETNA HEALTH INC. (TX),201768,105537,95417,96231,0.904109,0.476939,churn_dominant
"CENTRAL HEALTH PLAN OF CALIFORNIA, INC.",200886,106365,94459,94521,0.888065,0.470521,churn_dominant
Highmark Western and Northeastern New York Inc.,183930,46830,45177,137100,0.964702,0.745392,churn_dominant
"WELLCARE HEALTH INSURANCE OF ARIZONA, INC.",183450,47346,46386,136104,0.979724,0.741913,churn_dominant
QUARTZ HEALTH PLAN CORPORATION,177990,79920,79871,98070,0.999387,0.550986,churn_dominant
"TRIPLE S ADVANTAGE, INC.",175846,91488,91456,84358,0.99965,0.479727,churn_dominant
KAISER FOUNDATION HEALTH PLAN OF WASHINGTON,175302,67746,67439,107556,0.995468,0.613547,churn_dominant
"SUPERIOR HEALTHPLAN, INC.",174609,75816,73857,98793,0.974161,0.565796,churn_dominant
AETNA HEALTH OF MICHIGAN INC.,168204,84255,75680,83949,0.898226,0.49909,churn_dominant
"MVP HEALTH PLAN, INC.",168198,39666,36161,128532,0.911637,0.764171,churn_dominant
"DEVOTED HEALTH PLAN OF OHIO, INC.",167190,90558,76276,76632,0.842289,0.458353,churn_dominant
UCARE MINNESOTA,163152,18630,18592,144522,0.99796,0.885812,churn_dominant
DEVOTED HEALTH PLAN OF MISSOURI INC,162936,77088,69112,85848,0.896534,0.526882,churn_dominant
HIGHMARK SENIOR SOLUTIONS COMPANY,162756,38124,37748,124632,0.990137,0.76576,churn_dominant
COMMUNITY INSURANCE COMPANY,162180,61056,59625,101124,0.976562,0.623529,churn_dominant
GHS INSURANCE COMPANY,153417,40161,39784,113256,0.990613,0.738223,churn_dominant
DEVOTED HEALTH INSURANCE COMPANY OF INDIANA,152922,77088,66295,75834,0.859991,0.4959,churn_dominant
SENTARA HEALTH PLANS,151404,19434,19230,131970,0.989503,0.871641,churn_dominant
DEVOTED HEALTH INSURANCE COMPANY OF TENNESSEE INC,145566,69582,60261,75984,0.866043,0.52199,churn_dominant
"DOCTORS HEALTHCARE PLANS, INC.",139734,51210,47674,88524,0.930951,0.633518,churn_dominant
"MARTIN'S POINT GENERATIONS ADVANTAGE, INC.",132420,28728,26686,103692,0.92892,0.783054,churn_dominant
"ANTHEM HEALTH PLANS, INC.",128961,30528,29807,98433,0.976382,0.763277,churn_dominant
"COVENTRY HEALTH CARE OF KANSAS, INC.",123417,63846,60270,59571,0.94399,0.482681,churn_dominant
DEVOTED HEALTH INSURANCE COMPANY OF ALABAMA INC,122394,39396,34026,82998,0.863692,0.678121,churn_dominant
OH CHS SNP INC.,118995,47616,45935,71379,0.964697,0.599849,churn_dominant
GOLD KIDNEY OF ARIZONA,112815,43392,16604,69423,0.382651,0.61537,churn_dominant
"HEALTHPARTNERS, INC.",112696,36492,36484,76204,0.999781,0.676191,churn_dominant
DEVOTED HEALTH PLAN OF COLORADO INC,103641,40248,35598,63393,0.884466,0.611659,churn_dominant
AETNA HEALTH INC. (GA),89481,40818,37447,48663,0.917414,0.543836,churn_dominant
AETNA HEALTH INC. (ME),89331,31923,29858,57408,0.935313,0.642644,churn_dominant
"KEYSTONE HEALTH PLAN CENTRAL, INC.",87828,20514,20304,67314,0.989763,0.76643,churn_dominant
"MOLINA HEALTHCARE OF UTAH, INC.",83868,19560,17284,64308,0.88364,0.766776,churn_dominant
"BUCKEYE COMMUNITY HEALTH PLAN, INC.",82587,37770,36901,44817,0.976992,0.542664,churn_dominant
"WELLCARE OF SOUTH CAROLINA, INC.",82380,37770,36854,44610,0.975748,0.541515,churn_dominant
CELTIC INSURANCE COMPANY,81477,19023,18764,62454,0.986385,0.766523,churn_dominant
DEVOTED HEALTH INSURANCE COMPANY OF ARKANSAS INC,81468,38544,33720,42924,0.874844,0.526882,churn_dominant
